instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_group
1,2011-01-01,Spring,2011,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,Dingin
2,2011-01-01,Spring,2011,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,Dingin
3,2011-01-01,Spring,2011,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,Dingin
4,2011-01-01,Spring,2011,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,Dingin
5,2011-01-01,Spring,2011,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,Dingin
6,2011-01-01,Spring,2011,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,Dingin
7,2011-01-01,Spring,2011,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,Dingin
8,2011-01-01,Spring,2011,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,Dingin
9,2011-01-01,Spring,2011,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,Dingin
10,2011-01-01,Spring,2011,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,Sejuk
11,2011-01-01,Spring,2011,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,Sejuk
12,2011-01-01,Spring,2011,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,Sejuk
13,2011-01-01,Spring,2011,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,Sejuk
14,2011-01-01,Spring,2011,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,Sejuk
15,2011-01-01,Spring,2011,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,Sejuk
16,2011-01-01,Spring,2011,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,Sejuk
17,2011-01-01,Spring,2011,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,Sejuk
18,2011-01-01,Spring,2011,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,Sejuk
19,2011-01-01,Spring,2011,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,Sejuk
20,2011-01-01,Spring,2011,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,Sejuk
21,2011-01-01,Spring,2011,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,Sejuk
22,2011-01-01,Spring,2011,1,21,0,6,0,2,0.4,0.4091,0.87,0.19399999999999998,3,31,34,Sejuk
23,2011-01-01,Spring,2011,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,Sejuk
24,2011-01-01,Spring,2011,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,Sejuk
25,2011-01-02,Spring,2011,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,Sejuk
26,2011-01-02,Spring,2011,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,Sejuk
27,2011-01-02,Spring,2011,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,Sejuk
28,2011-01-02,Spring,2011,1,3,0,0,0,2,0.46,0.4545,0.94,0.19399999999999998,2,4,6,Sejuk
29,2011-01-02,Spring,2011,1,4,0,0,0,2,0.46,0.4545,0.94,0.19399999999999998,2,1,3,Sejuk
30,2011-01-02,Spring,2011,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,Sejuk
31,2011-01-02,Spring,2011,1,7,0,0,0,2,0.4,0.4091,0.76,0.19399999999999998,0,1,1,Sejuk
32,2011-01-02,Spring,2011,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,Sejuk
33,2011-01-02,Spring,2011,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,Sejuk
34,2011-01-02,Spring,2011,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,Sejuk
35,2011-01-02,Spring,2011,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,Sejuk
36,2011-01-02,Spring,2011,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,Sejuk
37,2011-01-02,Spring,2011,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,Sejuk
38,2011-01-02,Spring,2011,1,14,0,0,0,3,0.36,0.3485,0.76,0.19399999999999998,4,55,59,Sejuk
